description,url
Homepage,https://www.alibaba.com/
Category,https://sale.alibaba.com/category/products/index.html?wx_navbar_transparent=true&prefetchKey=met&path=/category/products/26/index.html&ncms_spm=a27aq.cp_26&categoryIds=26
Category,https://vietnamese.alibaba.com/trade/search?spm=a2700.product_home_l0.category_nav.category_popup&CatId=201777404&SearchText=%C4%90%E1%BB%93+Ch%C6%A1i+%C4%90i%E1%BB%81u+Khi%E1%BB%83n+T%E1%BB%AB+Xa&language=vi&indexArea=product_en
Category,https://vietnamese.alibaba.com/trade/search?spm=a27aq.cp_26.9178413360.3.32df2c6d4j6cr2&CatId=201952902&SearchText=Tr%E1%BA%BB+Em+Ph%E1%BB%A5+Ki%E1%BB%87n&language=vi&indexArea=product_en
Category,https://vietnamese.alibaba.com/trade/search?spm=a27aq.cp_26.9178413360.5.32df2c6d4j6cr2&CatId=201903804&SearchText=Khuy%E1%BA%BFn+M%E1%BA%A1i+%C4%90%E1%BB%93+Ch%C6%A1i&language=vi&indexArea=product_en
Category,https://vietnamese.alibaba.com/trade/search?spm=a27aq.cp_26.9178413360.6.32df2c6d4j6cr2&CatId=1501&SearchText=S%E1%BA%A3n+ph%E1%BA%A9m+%26+v%E1%BA%ADt+d%E1%BB%A5ng+cho+tr%E1%BA%BB+em&language=vi&indexArea=product_en
Category,https://vietnamese.alibaba.com/trade/search?spm=a27aq.cp_26.9178413360.7.32df2c6d4j6cr2&CatId=201345511&SearchText=S%E1%BA%A3n+ph%E1%BA%A9m+ch%C4%83m+s%C3%B3c+b%C3%A9&language=vi&indexArea=product_en
Category,https://vietnamese.alibaba.com/trade/search?spm=a27aq.cp_26.9178413360.8.32df2c6d4j6cr2&CatId=201459117&SearchText=Kh%E1%BB%91i&language=vi&indexArea=product_en
Category,https://vietnamese.alibaba.com/trade/search?spm=a27aq.cp_26.9178413360.9.32df2c6d4j6cr2&CatId=2607&SearchText=S%C3%BAng+%C4%91%E1%BB%93+ch%C6%A1i&language=vi&indexArea=product_en
Category,https://vietnamese.alibaba.com/trade/search?spm=a27aq.cp_26.9178413360.10.32df2c6d4j6cr2&CatId=201607003&SearchText=Qu%E1%BA%A7n+%C3%A1o+em+b%C3%A9&language=vi&indexArea=product_en
Category,https://vietnamese.alibaba.com/trade/search?spm=a27aq.cp_26.9178413360.11.32df2c6d4j6cr2&CatId=201900003&SearchText=B%E1%BB%83+B%C6%A1i+Phao+%26+N%C6%B0%E1%BB%9Bc+Vui+V%E1%BA%BB&language=vi&indexArea=product_en
