description,url
Homepage,https://www.amazon.com/
Category,https://www.amazon.com/s?i=specialty-aps&bbn=16225006011&rh=n%3A%2116225006011%2Cn%3A3777891&pd_rd_r=1f0fe6dc-732f-477a-9a5c-5af85acaad08&pd_rd_w=sqGFI&pd_rd_wg=6RfXS&pf_rd_p=eab778f7-37cf-4c6b-9552-5370900592a9&pf_rd_r=Z196AC0MY1P5WY6DY1Y6&ref=pd_gw_unk
Category,https://www.amazon.com/b?node=16225009011&pf_rd_r=Z196AC0MY1P5WY6DY1Y6&pf_rd_p=5232c45b-5929-4ff0-8eae-5f67afd5c3dc&pd_rd_r=1f0fe6dc-732f-477a-9a5c-5af85acaad08&pd_rd_w=HK6Wr&pd_rd_wg=6RfXS&ref_=pd_gw_unk
Category,https://www.amazon.com/b/?node=16225006011&pf_rd_r=Z196AC0MY1P5WY6DY1Y6&pf_rd_p=4a5ac24a-2f14-4296-8a03-0c034c0a7904&pd_rd_r=1f0fe6dc-732f-477a-9a5c-5af85acaad08&pd_rd_w=IZ9WA&pd_rd_wg=6RfXS&ref_=pd_gw_unk
Category,https://www.amazon.com/s?i=fashion-womens-intl-ship&bbn=16225018011&rh=n%3A16225018011%2Cn%3A1040660%2Cn%3A1045024&pd_rd_r=1f0fe6dc-732f-477a-9a5c-5af85acaad08&pd_rd_w=trI19&pd_rd_wg=6RfXS&pf_rd_p=6a92dcea-e071-4bb9-866a-369bc067390d&pf_rd_r=Z196AC0MY1P5WY6DY1Y6&qid=1646786470&rnid=1040660&ref=pd_gw_unk
Category,https://www.amazon.com/s?bbn=16225007011&rh=n%3A16225007011%2Cn%3A13896617011&dc&fst=as%3Aoff&pd_rd_r=6feb84a3-cc16-4c2a-891b-1a0775306690&pd_rd_w=58vAo&pd_rd_wg=YgAZQ&pf_rd_p=5b7fc375-ab40-4cc0-8c62-01d4de8b648d&pf_rd_r=Z196AC0MY1P5WY6DY1Y6&qid=1602294815&rnid=16225007011&ref=pd_gw_unk
Category,https://www.amazon.com/s?i=specialty-aps&bbn=16225018011&rh=n%3A7141123011%2Cn%3A16225018011%2Cn%3A1040660&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_12_2
Category,https://www.amazon.com/s?i=specialty-aps&bbn=16225010011&rh=n%3A%2116225010011%2Cn%3A10787321&ref=nav_em__nav_desktop_sa_intl_baby_and_child_care_0_2_16_2
Category,https://www.amazon.com/s?i=specialty-aps&bbn=16225006011&rh=n%3A%2116225006011%2Cn%3A11058281&ref=nav_em__nav_desktop_sa_intl_makeup_0_2_11_2
Category,https://www.amazon.com/s?i=specialty-aps&bbn=2562090011&rh=n%3A2562090011%2Cn%3A%2115690151%2Cn%3A15718271&ref=nav_em__nav_desktop_sa_intl_car_care_0_2_9_2
