description,url
Homepage,https://www.lazada.vn/
Category,https://www.lazada.vn/dien-thoai-di-dong/?spm=a2o4n.home.cate_1.1.19053bdcEaFDui
Category,https://www.lazada.vn/may-tinh-bang/?spm=a2o4n.home.cate_1.2.68b43bdcIolNEc
Category,https://www.lazada.vn/laptop/?spm=a2o4n.home.cate_1.3.68b43bdcqUlVjg
Category,https://www.lazada.vn/may-tinh-de-ban-va-phu-kien/?spm=a2o4n.home.cate_1.4.68b43bdclEsfAd
Category,https://www.lazada.vn/am-thanh/?spm=a2o4n.home.cate_1.5.68b43bdcHgPPtF
Category,https://www.lazada.vn/camera-giam-sat-2/?spm=a2o4n.home.cate_1.6.68b43bdcyx5RIy
Category,https://www.lazada.vn/may-anh-may-quay-phim/?spm=a2o4n.home.cate_1.7.68b43bdciwVATB
Category,https://www.lazada.vn/may-quay-phim/?spm=a2o4n.home.cate_1.8.68b43bdczgkpya
Category,https://www.lazada.vn/man-hinh-vi-tinh/?spm=a2o4n.home.cate_1.9.68b43bdczrx0jf
Category,https://www.lazada.vn/man-hinh-may-in/?spm=a2o4n.home.cate_1.10.68b43bdceDapIp
Category,https://www.lazada.vn/dong-ho-thong-minh/?spm=a2o4n.home.cate_1.11.68b43bdcFycHlt
Category,https://www.lazada.vn/dieu-khien-choi-game/?spm=a2o4n.home.cate_1.12.68b43bdc92DBwv
Category,https://www.lazada.vn/phu-kien-dien-thoai-may-tinh-bang/?spm=a2o4n.home.cate_2.1.68b43bdcuMPjx9
Category,https://www.lazada.vn/thiet-bi-thong-minh/?spm=a2o4n.home.cate_2.2.68b43bdcuAf6MH
Category,https://www.lazada.vn/thiet-bi-so/?spm=a2o4n.home.cate_2.3.68b43bdcTxGtm6
Category,https://www.lazada.vn/phu-kien-may-anh-may-quay-phim/?spm=a2o4n.home.cate_2.4.68b43bdcto4DOw
Category,https://www.lazada.vn/phu-kien-may-bay-camera/?spm=a2o4n.home.cate_2.5.68b43bdc0egzSl
Category,https://www.lazada.vn/thiet-bi-luu-tru-2/?spm=a2o4n.home.cate_2.6.68b43bdchxeoDw
Category,https://www.lazada.vn/phu-kien-may-vi-tinh/?spm=a2o4n.home.cate_2.7.68b43bdcbCFs3c
Category,https://www.lazada.vn/linh-kien-may-tinh/?spm=a2o4n.home.cate_2.8.68b43bdc7yU2a5
Category,https://www.lazada.vn/phu-kien-ong-kinh/?spm=a2o4n.home.cate_2.9.68b43bdcXoP8Ih
Category,https://www.lazada.vn/thiet-bi-mang/?spm=a2o4n.home.cate_2.10.68b43bdcd5aINS
Category,https://www.lazada.vn/phu-kien-may-choi-game/?spm=a2o4n.home.cate_2.11.68b43bdcI4dwuM
Category,https://www.lazada.vn/tv-video-am-thanh-thiet-bi-deo-cong-nghe/?spm=a2o4n.home.cate_3.1.68b43bdcHXuDGt
Category,https://www.lazada.vn/do-gia-dung-nho/?spm=a2o4n.home.cate_3.2.68b43bdcEvIvBX
Category,https://www.lazada.vn/?spm=a2o4n.home.cate_3.3.68b43bdcnUQmlC
Category,https://www.lazada.vn/phu-kien-cho-tv/?spm=a2o4n.home.cate_3.4.4ebe3bdc2x0edH
Category,https://www.lazada.vn/cham-soc-da-mat/?spm=a2o4n.home.cate_4.1.4ebe3bdcRpEfrk
