description,url
Homepage,https://tiki.vn/
Category,https://tiki.vn/do-choi-me-be/c2549
Category,https://tiki.vn/di-cho-online
Category,https://tiki.vn/dien-thoai-may-tinh-bang/c1789
Category,https://tiki.vn/lam-dep-suc-khoe/c1520
Category,https://tiki.vn/dien-gia-dung/c1882
Category,https://tiki.vn/thoi-trang-nu/c931
Category,https://tiki.vn/thoi-trang-nam/c915
Category,https://tiki.vn/giay-dep-nu/c1703
Category,https://tiki.vn/tui-vi-nu/c976
Category,https://tiki.vn/giay-dep-nam/c1686
Category,https://tiki.vn/tui-thoi-trang-nam/c27616
Category,https://tiki.vn/balo-va-vali/c6000
Category,https://tiki.vn/phu-kien-thoi-trang/c27498
Category,https://tiki.vn/dong-ho-va-trang-suc/c8371
Category,https://tiki.vn/laptop-may-vi-tinh-linh-kien/c1846
Category,https://tiki.vn/nha-cua-doi-song/c1883
Category,https://tiki.vn/bach-hoa-online/c4384
Category,https://tiki.vn/thiet-bi-kts-phu-kien-so/c1815
Category,https://tiki.vn/o-to-xe-may-xe-dap/c8594
Category,https://tiki.vn/nha-sach-tiki/c8322
Category,https://tiki.vn/dien-tu-dien-lanh/c4221
Category,https://tiki.vn/the-thao-da-ngoai/c1975
Category,https://tiki.vn/may-anh/c1801
Category,https://tiki.vn/san-pham-tai-chinh-bao-hiem/c54042
Item,https://tiki.vn/dau-duong-am-mat-xa-johnson-s-baby-200ml-p20088699.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll-desktop_UNK_UNK_UNK_AD_batched_PID.43209215&itm_medium=CPC&itm_source=tiki-reco&spid=43209215
Item,https://tiki.vn/combo-4-tam-lot-sunmate-cai-tien-moi-14-mieng-goi-size-l-60-x-70cm-p213586945.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll-desktop_UNK_UNK_UNK_AD_batched_PID.213586946&itm_medium=CPC&itm_source=tiki-reco&spid=213586946
Item,https://tiki.vn/sua-bot-abbott-ensure-gold-vani-400g-p435868.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll-desktop_UNK_UNK_UNK_AD_batched_PID.141094&itm_medium=CPC&itm_source=tiki-reco&spid=141094
Item,https://tiki.vn/bo-2-hop-sua-provital-immuna-plus-960g-giup-tang-cuong-he-mien-dich-cho-nguoi-truong-thanh-va-nguoi-lon-tuoi-p180001095.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll-desktop_UNK_UNK_UNK_AD_batched_PID.180001100&itm_medium=CPC&itm_source=tiki-reco&spid=180001100
Item,https://tiki.vn/ta-dan-nguoi-lon-sunmate-g2-size-m-l18-18-mieng-p2665465.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll-desktop_UNK_UNK_UNK_AD_batched_PID.2666883&itm_medium=CPC&itm_source=tiki-reco&spid=2666883
Item,https://tiki.vn/sua-de-biostime-sn2-bio-plus-ultra-goat-goi-25-8g-p195504866.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll-desktop_UNK_UNK_UNK_AD_batched_PID.195504867&itm_medium=CPC&itm_source=tiki-reco&spid=195504867
Item,https://tiki.vn/apple-ipad-10-2-inch-9th-gen-wi-fi-2021-p183330021.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll_infinite-scroll_personalize-for-you-v1_202302270600_MD_batched_PID.124939769&itm_medium=CPC&itm_source=tiki-reco&spid=124939769
Item,https://tiki.vn/thung-ta-quan-huggies-tram-tra-tu-nhien-dry-pants-mega-jumbo-phien-ban-sieu-anh-hung-p216127061.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll_infinite-scroll_personalize-for-you-v1_202302270600_MD_batched_PID.216127071&itm_medium=CPC&itm_source=tiki-reco&spid=216127071
Item,https://tiki.vn/apple-iphone-14-pro-p197216279.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll_infinite-scroll_personalize-for-you-v1_202302270600_MD_batched_PID.197216281&itm_medium=CPC&itm_source=tiki-reco&spid=197216281
Item,https://tiki.vn/thung-48-hop-sua-nestle-milo-nuoc-180ml-hop-p10240037.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll_infinite-scroll_personalize-for-you-v1_202302270600_MD_batched_PID.10240038&itm_medium=CPC&itm_source=tiki-reco&spid=10240038
Item,https://tiki.vn/apple-iphone-11-p184036446.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll_infinite-scroll_personalize-for-you-v1_202302270600_MD_batched_PID.32033719&itm_medium=CPC&itm_source=tiki-reco&spid=32033719
Item,https://tiki.vn/macbook-air-m1-13-inch-2020-p124742926.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll_infinite-scroll_personalize-for-you-v1_202302270600_MD_batched_PID.73795627&itm_medium=CPC&itm_source=tiki-reco&spid=73795627
Item,https://tiki.vn/sua-de-biostime-sn-2-bio-plus-ultra-goat-hop-800g-p170488114.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll-desktop_UNK_UNK_UNK_AD_batched_PID.170488116&itm_medium=CPC&itm_source=tiki-reco&spid=170488116
Item,https://tiki.vn/ta-dan-sunmate-sieu-mong-sieu-tham-size-m-l-xl-goi-10-mieng-p202782546.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll-desktop_UNK_UNK_UNK_AD_batched_PID.202782554&itm_medium=CPC&itm_source=tiki-reco&spid=202782554
Item,https://tiki.vn/loc-04-hop-sua-nuoc-abbott-similac-110ml-p35043538.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll-desktop_UNK_UNK_UNK_AD_batched_PID.35043539&itm_medium=CPC&itm_source=tiki-reco&spid=35043539
Item,https://tiki.vn/sua-bot-abbott-similac-total-comfort-2-820g-p24027566.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll-desktop_UNK_UNK_UNK_AD_batched_PID.24027567&itm_medium=CPC&itm_source=tiki-reco&spid=24027567
Item,https://tiki.vn/khong-diet-khong-sinh-dung-so-hai-tb5-p187827003.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_infinite-scroll_infinite-scroll_personalize-for-you-v1_202302270600_MD_batched_PID.187827005&itm_medium=CPC&itm_source=tiki-reco&spid=187827005
Item,https://tiki.vn/loa-may-tinh-game-thu-robot-rs200-hang-chinh-hang-p59084364.html?spid=59084365
Item,https://tiki.vn/tay-cam-choi-game-gamesir-g4-pro-2-4ghz-cho-nintendo-switch-tro-choi-apple-arcade-va-mfi-xbox-cloud-gaming-android-pc-hang-nhap-khau-p86143810.html?spid=100898229
Item,https://tiki.vn/tai-nghe-bluetooth-lanith-s11-kem-pin-sac-du-phong-dung-luong-cao-ket-noi-bluetooth-5-0-tai-nghe-khong-day-nghe-nhac-choi-game-hien-dai-hang-nhap-khau-p82291235.html?spid=87599850
Item,https://tiki.vn/chuot-khong-day-chuyen-game-xsmart-wolf-x8-pro-nang-cap-wireless-2-4ghz-sieu-ngau-tu-dong-doi-mau-sac-hang-chinh-hang-p96482181.html?spid=96482187
Item,https://tiki.vn/bo-2-nut-gamepad-ho-tro-choi-game-pubg-baseus-holder-shooting-cho-ipad-may-tinh-bang-mau-ngau-nhien-hang-chinh-hang-p10071522.html?spid=10071523
Item,https://tiki.vn/combo-phim-bosston-803-tang-chuot-game-tai-nghe-yl902-va-lot-chuot-hinh-game-s1-giao-mau-ngau-nhien-hang-chinh-hang-p27946432.html?spid=107872659
Item,https://tiki.vn/chuot-may-tinh-khong-day-bluetooth-xiaomi-quang-dien-tu-2-4ghz-che-do-kep-phien-ban-yen-tinh-cho-van-phong-choi-game-p209318450.html?spid=209318454
Item,https://tiki.vn/flydigi-joyone-tay-cam-joystick-choi-game-ket-noi-bluetooth-gamepad-cho-dien-thoai-ipad-choi-game-lien-quan-pubg-hang-nhap-khau-p138507429.html?spid=138507454
Item,https://tiki.vn/combo-bo-chuyen-doi-ket-noi-chuot-va-ban-phim-choi-game-pubg-mobile-free-fire-cho-dien-thoai-android-ios-hang-chinh-hang-p189658635.html?spid=197781980
Item,https://tiki.vn/ban-phim-gaming-mini-led-rgb-v700-gia-co-nho-gon-hang-nhap-khau-p95484013.html?spid=167472431
Item,https://tiki.vn/tai-nghe-gaming-chup-tai-remax-may-tinh-choi-game-co-mic-tich-hop-den-led-cho-pc-ps4-gameming-co-day-gaming-headp-p202879722.html?spid=202879723
Item,https://tiki.vn/tai-nghe-khong-day-qcy-t17-bluetooth-5-1-do-tre-thap-dung-choi-game-enc-goi-thoai-p205831827.html?spid=205831829
Item,https://tiki.vn/tai-nghe-chup-tai-gaming-tich-hop-mix-hxsj-f16-rgb-am-thanh-3d-bass-cuc-da-chuyen-dung-nghe-nhac-choi-game-hang-chinh-hang-p117070803.html?spid=117070805
